,comment
0,"Skip navigation
Sign in
What will the fallout be from President Trump’s new steel and aluminium tariffs? | BBC Newscast
BBC News
17.4M subscribers
Subscribe
454
Share
Save
BBC is a British public broadcast service. Wikipedia
    
    
    
   
    
    
    
   48K views  3 days ago  BBC Newscast
We look at the latest Trump news which includes the announcement that he will impose 25% tariffs on all steel and aluminium imports into the U.S.
 …
...more
Unlock Your Hidden Brain Power
Sponsored
happyhabits.convertri.com/genius
Watch now
State to State Moving Company
American Van Lines® Official Site. Full Service Moving
Sponsored
American Van Lines ®
Get quote
18:21
Zelensky meeting with US Vice President | BBC News
BBC News
25K views 1 hour ago
New
16:29
Can Trump win a trade war with China? - The Global Story podcast, BBC World Service
BBC World Service
511K views 6 days ago
New
31:16
Are President Trump and President Xi about to turn tariffs into a trade war? | BBC Newscast
BBC News
49K views 10 days ago
14:16
Trade tariff turmoil pushes Canada to rethink US ties | DW News
DW News
1M views 1 day ago
New
14:12
Trump Offers HUGE Concessions to Putin, RFK Jr Made Health Czar & Aunt Chippy Meets Oscar the Grouch
Jimmy Kimmel Live
1.2M views 15 hours ago
New
27:10
Does Trump and Putin's Potential Ukraine Deal Mean the Start of a New World Order? | BBC Newscast
BBC News
15K views 5 hours ago
New
36:27
Can China's Deepseek AI beat the US's Chat GPT? | BBC Newscast
BBC News
94K views 2 weeks ago
Have we already found the fountain of youth? - The Global Story, BBC World Service
BBC World Service
173K views 2 weeks ago
Richard Wolff: Donald J. Trump and the End of America
Robinson Erhardt
622K views 5 days ago
New
Why can't we stop eating certain foods? - BBC
BBC
417K views 2 months ago
China announces retaliatory action as Donald Trump's tariffs take effect | BBC News
BBC News
637K views 10 days ago
55:12
Trump And Musk: An Oligarchic Presidency?
Katie Couric
34K views 1 day ago
New
15:33
Von der Leyen at the Munich Security Conference: Putin's victory would also weaken the USA | BR24
BR24
10K views 5 hours ago
New
7:07
DeepSeek, TikTok, Temu: How China is taking the lead in tech - BBC World Service
BBC World Service
899K views 7 days ago
36:43
F-35, Javelin, military ties, trade-tariffs, China & immigration—key takeaways from Modi-Trump talks
ThePrint
14K views 3 hours ago
New
12:17
Musk Slammed by Warren at Protest Over DOGE Cuts; Trump's Kennedy Center Takeover: A Closer Look
Late Night with Seth Meyers
1M views 18 hours ago
New
11:27
Why is China building a massive military command center in Beijing? | DW News
DW News
222K views 3 days ago
New
28:58
What has President Trump done with his first week back? | BBC Newscast
BBC News
45K views 3 weeks ago
23:08
Steel, aluminum imports included in Trump tariffs | CTV National News at 11 for Monday Feb. 10 2025
CTV News
117K views 3 days ago
New
23:13
Hardeep Singh Puri on Russian oil, US tariffs and India's energy requirements | BBC News India
BBC News India
274K views 7 days ago
Show more
429 Comments
Sort by
Add a comment...
@nicholashylton6857
3 days ago
We Canadians kindly request that our international friends choose your local goods and services rather than buying America's brands, where possible. 🇨🇦🇬🇧
60
Reply
25 replies
@Dorarhywilliam
1 day ago
I'm retired at 47, This video here reminds me of my transformation from a nobody to having over 65,000 biweekly profit, a honest partner and a good daughter full of love 
22
Reply
23 replies
@tetchuma
3 days ago
Holy crap, my country is stupid!
We’ve already done this dance in 2019…
Why, on earth, would people reelect him?!?!
62
Reply
13 replies
@cybrfriends5089
3 days ago
How is this going to make food more affordable for the average American? American families are struggling!!
15
Reply
@Hornet_Legion
3 days ago
expect soft drinks to go up, expect foods canned in iron alloy cans to go up.
22
Reply
3 replies
@sistersnake4629
3 days ago
Wow now we can't wait for all the construction companies ,cars and ship builders   in the US to be thrilled they voted for Trump.
22
Reply
4 replies
@richardm4825
3 days ago
Trumpski goes from ""lower inflation on day ONE"", to ""there will be some pain"" in a NY minute.
18
Reply
1 reply
@modlifecrisis997
3 days ago
'Murcans need to invest in some education for its leaders and citizens ... its truly remarkable how  steeped in protectionism and racism the old timers are.
13
Reply
4 replies
@LoriPhiLip-u9s
3 days ago
These tariffs will hurt U.S manufactoring
10
Reply
4 replies
@dznrboy
3 days ago
I think it's interesting how quiet the UK has been considering Canada is part of the Common Wealth and the threat to Canada's sovereignty from the US.
11
Reply
7 replies
@mr.joesterr5359
3 days ago
American here. MOST OF US DONT SUPPORT TRUMP! Juat saying this so the world doesnt give up on us and supported the people fighting against Trumpism cause we need support rn.
3
Reply
5 replies
@JohnBl7167
3 days ago
I wonder if these reporters think he's nuts but they are too nice to say 
7
Reply
@RahulKumar-pk8uv
3 days ago
I don’t get why more people aren’t talking about 'Forbidden Path for Achieving Wealth' – it’s something you need to know
50
Reply
@bojanm986
3 days ago
We all know these tariffs will last only a couple of days...
2
Reply
1 reply
@happyjonn9242
3 days ago
It's hilarious that he slaps sanctions on everyone as a punishment, then put tariffs on all goods coming into his own country, effectively sanctioning himself.
4
Reply
1 reply
@explorer47422
3 days ago (edited)
Trump has always been about ""America First"" and shut down USAID to stop 'unneccessary' spending overseas, yet here he is suggesting the US pays billions to redevelop an area the size of Manhattan island - what happened to paying for homes for homeless American war veterans? Why isn't that being spent on Americans?
4
Reply
5 replies
@RisNandar-c9h
3 days ago
EU will react against ""unlawful"" US tariffs, says European Commission.
4
Reply
2 replies
@thesuperviewer3226
3 days ago
In America we also tax if you say aluminum differently
15
Reply
5 replies
@filip1979
3 days ago
This book really opened my eyes, has anyone else read 'Forbidden Path for Achieving Wealth'?
38
Reply
@fnankidane-tm7yi
3 days ago
He is going to a dictatorship 
1
Reply
@drakehound2244
3 days ago
This will be GRAND.... wasn't this tried in 2019? ah who cares lets try it again... 
I am still laughing, people said Trump wouldn't set back USA a decade.
2
Reply
@LWJCarroll
3 days ago
Ho hum  so this domestic USA tax is paid there. Damaging for their car industry’s etc.   Still is the Gulf of Mexico btw.
1
Reply
1 reply
@curiositycloset2359
3 days ago
So, wait a minute, steel works are a strategic industry, and allowing china to destroy it with cheap imports would be strategic madness. And we have allowed our steel works, in the UK, to be destroyed. But trump is the mad one?

I'm not quite understanding the reasoning here.
3
Reply
4 replies
@MrMakeDo
3 days ago
I don’t understand this “which he renamed the Gulf of America” nonsense. Trump doesn’t have any control over how the rest of the world refers to a body of water.
1
Reply
3 replies
@david197757
3 days ago
How many blast furnaces are still working in the UK?
1
Reply
@saveriomadia8867
3 days ago
The Gulf of America is the void located under that ugly mass of combover!
1
Reply
@auro1986
3 days ago
bbc asking about tarrif on aluminium and steel in air force one and trump cannot understand sarcasm
Reply
@timadams9997
3 days ago
Google maps for me says ""Gulf of Mexico (Gulf of America)""
1
Reply
1 reply
@universaltruth9988
3 days ago
Do you know why uk government is silent on 51st state plan because britain is the original 51st state and if trump wanna change it then it's ok for britain 
2
Reply
@MaryBilly-b8g
3 days ago
Delighted to say I'm favoured over $100k every 4 weeks thanks to my portfolio manager. I now have few properties and can afford anything and also support my family, if you want to be successful, have the mindset of one, invest more and spend less, glad I understood that.
10
Reply
14 replies
@DanH-u3f
3 days ago
American cars and trucks will be a lot more expensive.
3
Reply
1 reply
@TheJapanChannelDcom
3 days ago
Now the BBC is just a bunch of characters with huge microphones in their garages?
1
Reply
1 reply
@ghostbabybrown
2 days ago
From a US Citizen our Google Map now says Gulf Of America  this is crazy..
Reply
1 reply
@vboyz21
3 days ago
The rest of the world only knows that aluminium not that stupid spelling of it so we're okay to still send it without tariffs!
Reply
@ToiChutGongWu
3 days ago
BBC seems to be short on reports today.  Must be all that lack of USAID funding 
2
Reply
@danjackson5989
3 days ago
From my Canadian URL Google maps says Gulf of Mexico (Gulf of America). Same when I switched my VPN to the UK, America, Russia, Netherlands and other European countries.
Reply
1 reply
@trippinout.
3 days ago
Trump just assumes world leaders suffer from Coulrophobia.
1
Reply
@hourbee5535
3 days ago
Google has now changed the Gulf of Mexico to Gulf of America on its maps 
Reply
3 replies
@justinthibodeaux6380
3 days ago
Uk your tariffs are coming this week
2
Reply
@gm3190
3 days ago (edited)
Trump gets elected on a platform of lowering taxes and ....imposes a tax which is called a tariff 
2
Reply
@captainbuggernut9565
3 days ago (edited)
UK exports of steel are less than 3% of our total production. Aluminium exports are negligible for the UK. This will have little effect on the UK. Germany on the other hand will have 10 billion dollars worth of tariffs, if this is applied as a blanket tariff on all steel. Basically, everything made out of it will get more expensive in the USA. Americans will be poorer. The American government will be richer.
5
Reply
9 replies
@rajusyangtan2062
3 days ago
1
Reply
@publics.public
2 days ago
What borders on stupidity?

Mexico and Canada
Reply
@jonahspiper
3 days ago
It would help if you could say Aluminium if you want to sell it. This maybe the problem?
Reply
1 reply
@trishtraynor
3 days ago
Stop reporting on America!! They elected him we elected Labour. Focus on the shenanigans in Westminster.
3
Reply
1 reply
@종석-k6n
3 days ago
Musk calls German Green Party's candidate for chancellor ""a piece of shit
2
Reply
@magnittmagnitt6174
3 days ago
More BBC wokey meltdown.
1
Reply
@lastChang
3 days ago
""Trade war with China is easy to win,"" stated Donald Trump, who easily won it, then compelled China 🇨🇳 to sign the one-way Phase-1 agreement.
4
Reply
1 reply
@stockmarketguru2432
3 days ago
Crash is coming in metal stocks 
1
Reply
1 reply
@evanstential
3 days ago
4:15 and what of it? 
Reply
@JorgeRamirez-hz4vs
3 days ago
From the BBC, NYT and Politico ... at this point it might be easier to find out who USAID has NOT funded in the media sphere
Reply
1 reply
@Buttsy1
3 days ago
Anyway. Britiah politicians getting big pay rise while the working class get poorer and their hard earned cash is sent abroad.
2
Reply
@Dreamspawn1978
3 days ago
trump adds tarrifs ""why are we short on everything?!?!""
Reply
@pam.h4007
3 days ago (edited)
It says Gulf of America at this point on Google Maps. Viewing from Oregon at abt 1700pm 10 Feb 2025
Reply
1 reply
@iul2701
3 days ago
we want to be more like Time Hortons that place is for US
Reply
@mobinahmed6445
3 days ago
Un sinkable is sinking now... & it's very timidly weakestTimidly.
Reply
@jameskellenberger8740
3 days ago
Meet the fake news.
1
Reply
@kevin02mulder
3 days ago
the Trumpus is reading mein kampf every night
2
Reply
3 replies
@williamcarter9380
3 days ago
I'm worried more about the fallout from Irans nuclear reactor that's only good for weapons grade uranium enrichment.
Reply
1 reply
@casey1756
3 days ago
Last time you said America was going to go broke now we have Mexico and Canada securing their side of the boarder which is all he was asking for to begin with
3
Reply
8 replies
@johnlemon1863
3 days ago
The most misinformed comments section I've seen in a while. This is bad, even for a BBC audience.
Reply
@13Liberty50
2 days ago
Trump's steel, aluminum tariffs Once we get back to Made in America this will not affect Americans 
Federalist Papers 
Author: Alexander Hamilton`
In America, far the greatest part of the national revenue is derived from taxes of the indirect kind, from imports, and from excises, duties on imported articles.  In America, it is evident that we must a long time depend for the means of revenue chiefly on such duties.

Those who attempt to bash or dismiss Hamilton and the time frame he lived in, are only attempting to separate you from your history.
Read more
Reply
@iul2701
3 days ago
in Thule America were about US we own that area British Columbia were doing natural law
Reply
@jmck6320
3 days ago
Gr8 tash
Reply
@JeffreySmith7777
3 days ago (edited)
Good. Americans would rather buy American. Next!
Cough, cough. There are NO American vehicles manufactured in America.  They are ALL assembled in America.
Which is why tariffs will work.
Reply
@essakhan-oh2vh
3 days ago
Don’t make Trump crazy about these things Don’t try Trump to not  plunge his self and others but by the joint consultations apply these tariffs so all the economies benefit from it not applying the tariffs unilaterally as a retaliatory economic counter trade measure.
Reply
@noahkirkpatrick8912
3 days ago
Buy US steel asap
Reply
1 reply
@prvtlongarm
3 days ago
Yes because hamas owns it now.  You think we just want to rebuild it for Hamas?
Reply
1 reply
@urmilarajpoot1556
3 days ago
After reading 'Forbidden Path for Achieving Wealth' I finally understood why so many people struggle with money it reveals things most people don’t even know about how money really works has anyone else read it
Reply
@hoboninjuh8057
3 days ago
You guys in the uk have tariffs on us this is just us leveling with you in the UK stop tariffing us an we'll stop terriffing you
1
Reply
2 replies
@englishone6269
3 days ago
This is Budweiser's chance to take the lead again as America's #1 beer! Stop buying Mexican beer people!
Reply
2 replies
@MasterBG86
3 days ago
️ = Almighty
️ = Sunday
Reply
@ChamilaSujith-iz4uf
3 days ago
1
Reply
@MrKenng123
3 days ago
Lol I think the world has gone insanely mad. Apocalypse?
Reply
@종석-k6n
3 days ago
Rwandan expansionism in Congo
Reply
@TheLakingc
3 days ago
Good grief! Please, Lord, forgive us and deliver us from this arrogant pharoah. Hear our grief and tears because of this crazy tyrant.  Bring us back to love and sanity.
Reply
@publics.public
2 days ago
What will the fallout be from President Trump’s new steel and aluminium tariffs? 
A huge runny 5h!t.
Reply
@cooldood37
2 days ago
Non stop having ago at Trump, Anthony Zurcher even used the new democrat buzz word, constitutional crisis.
Reply
1 reply
@TheGreatVivek7
3 days ago
1:28 What kind of name is Somaskanda. Some Americans must be thinking she is from Wakanda since that's how competent their education system is.
2
Reply
@wendy2catsne
3 days ago (edited)
Tariffs work!!! Go Trump!!  the US piggy bank is closed!!!
Reply
1 reply
@FireMaiden.666
3 days ago
Hey BBC, what's your thoughts on the Lucy Letby case today. Most media outlets have the breaking news, but not you. BTW, she's been found innocent. How do you like those apples?!
1
Reply
1 reply
@denkk4282
3 days ago
В Эстонии у границы с Россией развернули подразделение армии США
МОСКВА, 11 фев — РИА Новости. Подразделение армии США развернуто на эстонской военной базе у границы с Россией, сообщает телерадиовещательная компания ERR.
p.s.
это всё что нужно знать о политических дипломатических и экономических успехах прибалтииских сопредельных с нами государств и их ""30 летнюю героическую борьбу за независимость""! знают ли в Пентагоне что у них не один а как минимум десять деиствующих президентов США? мне кажется эти люди за всю историю существования НАТО, так и не смогли осилить эту мысль! в ней слишком много буков!
Read more
Reply
@Scott-o3v5q
3 days ago
My name scott seres I need opp fir lung and gadgets they trying or pos infecting me to prevent I scared to take my meds I need help ASAP pls
Reply
@اختكم-ذ8ب
3 days ago
والله العظيم ماكتبت هاذا المناشده الا من الجوع والفقر ياعالم حسو فينا سِالُتكِ بّالُلُُه انَ تْنَقًذَنَا قًبّلُ انَ نَمٌوَتْ مٌنَ شِدِتْ الُجْوَع انَتٌْخيَكِ انَيَ دٌِخلُةِ ْعلُى الُلُُه تْمٌ ْعلُيَكِ انَيَ فَيَ وَجُْهك انَـيَ اخـتْكِ انَـيَ اتْرَجْـاكِ اتْـوَسِـلُ الُـيَـكِ انَـقًـذَنَا لُـوَجُْـه الُـلُُـه. يَــشِــُهدِ الُــلُــُه يَاٌخـيَ انَ مٌنَ الُــصّــبّاحُ حُـتْا الُـانَ يَــحُــرَمٌ ْعـــلُيَـنَـا الاكل غير الماء ''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''' اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه من اليمن نازحين من انا واسرتي بيننا ایت الشهرب 20 الف يمني والان علينا 60 الف حق 3 شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرنا ندفعله الأجار شافونا الجيران نبكي ورجعو تكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا. بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه اخوتي الصغار خرجو للشارع وشافو الجيران ياكلو واوقفو عند بابهم لجل يعطوهم ولو كسره خبز والله الذي له ملك السموات والارض انهم غلفو الباب وطردوهم ورجعو یبکو ایموتو من الجوع ما احد رحمهم وعطلة ردها لقمت عیش والان لوما احدنا ساعدنا في إيكيلو دقيق اقسم بالله انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله تحب الخير واتساعدني ولو ب 500 ريال يمني مع تراسلي واتساب على هذا الرقم 00967711528949 وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير اخواني سغار شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع وانا واسرتي نسالك بالله لولك مقدره على مساعد لاتتاخر علينا وجزاك الله خيرا./÷~÷~÷~π÷~÷~÷~π~÷~^¢°√°
Read more
Reply
@giman3752
3 days ago
THE WHOLE OF THE BBC NEWS PRODUCTION TEAM MUST RESIGN AFTER RECEIVING CASH FROM CORRUPT USAID.
2
Reply
3 replies
@lrs7777
3 days ago
He’s a flip flopper
Reply
@damianglenn2565
3 days ago
Love it.go trump
1
Reply
1 reply
@ArabicReja973
3 days ago
To address Chinese 🇨🇳 unfair trade practices, President Trump is mandated to impose 60% tariffs on all Chinese products.
Additionally, China needs to change its behavior to remove the following tariffs:
- 10% on Fentanyl trafficking,
- 10% on human rights violations,
- 10% on Taiwan Strait and South China Sea aggression.
Read more
2
Reply
1 reply
@leolouis9449
3 days ago
really mister crook the trump no with canada you don't screw canada cause goes dollar per dollar so you're alone
1
Reply
@threefrogsbuilding
2 days ago
Donald Tariffs
Reply
@jonlee5283
3 days ago
Oh don't give him what  wish to hear he's God when is a friend's appreciate I'm talking about the millionaire of America the same as Russia the power they really have
Reply
@giman3752
3 days ago
BBC LEFTARDS NOT PRESENTING ACTUAL NEUTRAL NEWS...
Reply
@ShabaniKasim-n7o
3 days ago
Reply
@hisoda0125
3 days ago
he is my favorite male host
Reply
@denkk4282
3 days ago
«Для нас помощь Украине не означает благотворительность, мы таким образом инвестируем в собственную безопасность», — отметила политик.
p.s.
похоже Бербок может выдохнуть - у нее появился многообещающий и перспективный конкурент который выведет международные связи и политику ЕС ""на принципиально новый уровень""! ну то есть экспедиция начатая Боррелем к недрам Земли, продолжится с утроенной силой и усердием ... вам враги не нужны ребят, вам воина не нужна - вы сами как воина голод и чума в одном конном строю!
Read more
Reply
5 replies
@Kvell55
3 days ago
President Trump is working hard for the American people. So much positivity in the USA happening. Go Trump 🇺🇸
1
Reply
@StillCorners-o4c
1 day ago
Трамп за кораблём#.
Reply
@notjustforhackers4252
3 days ago
More Labour scandals... crickets from the BBC. Get the American public to fund you if you want to keep going on and on and on and on about Trump, it's really boring now.
1
Reply
1 reply
@BluntyBlue-e1l
3 days ago
Liberals tears 
2
Reply
@giman3752
3 days ago
THE WHOLE OF THE BBC NEWS PRODUCTION TEAM MUST RESIGN AFTER RECEIVING CASH FROM CORRUPT USAID
Reply
@ShabaniKasim-n7o
3 days ago
Reply
@kl56movies
3 days ago
Trump is great 
Reply
1 reply
@desperadochrome5950
3 days ago
Dats my president 
Reply
@amg4897
3 days ago
 Trump
Reply
@magnittmagnitt6174
3 days ago
.
Grow up.
Reply"
1,
2,
3,
4,
5,
6,
7,"We Canadians kindly request that our international friends choose your local goods and services rather than buying America's brands, where possible. 🇨🇦🇬🇧"
8,"I'm retired at 47, This video here reminds me of my transformation from a nobody to having over 65,000 biweekly profit, a honest partner and a good daughter full of love "
9,"Holy crap, my country is stupid!
We’ve already done this dance in 2019…
Why, on earth, would people reelect him?!?!"
