,comment
0,"Skip navigation
Sign in
AND EXCHANGE RATES, THE WHITE HOUSE SAYS.
Trump Moves to Consider Imposing Reciprocal Tariffs
Bloomberg Television
2.46M subscribers
Join
Subscribe
127
Share
Save
    
    
    
   
    
    
    
   10K views  1 day ago
President Donald Trump ordered his administration to consider imposing reciprocal tariffs on numerous trading partners, raising the prospect of a wider campaign against a global system he complains is tilted against the US. Trump wants studies done by April 1, then he could take immediate action. Michael McKee and Shawn Donnan report.
 …
...more
Veterinary Services Near You
From general checkups to the scarier stuff, experience peace of mind with our experts.
Sponsored
Boston Veterinary Clinic
Book now
3:57
JD Vance stuns Munich conference with critique on European democracy | Ian Bremmer's Quick Take
GZERO Media
3.5K views 1 hour ago
New
7:34
Why this CIO has positive a positive market forecast amid the tariff conflict
BNN Bloomberg
258 views 49 minutes ago
New
5:11
Trump's Plan To End the Ukraine War | The Daily Show | Comedy Central Africa
Comedy Central Africa
641 views 43 minutes ago
New
3:15
Buying every dip is concerning, says Interactive Brokers' Steve Sosnick
CNBC Television
1.4K views 2 hours ago
New
16:53
Weekend snow storm forecast calls for significant icing in parts of New England
CBS Boston
1.7K views 3 hours ago
New
18:46
40 Acre Homestead 2 Maine Homes
Andrew Mooers
10K views 23 hours ago
New
55:12
Trump And Musk: An Oligarchic Presidency?
Katie Couric
35K views 1 day ago
New
5:11
Best Is Ahead for Tesla, Says Dan Ives
Bloomberg Television
4.1K views 6 hours ago
New
12:57
ExpressEconomist:What Will Reciprocal Tariffs Mean For India & Is This A Good Idea For Donald Trump?
The Indian Express
420 views 3 hours ago
New
4:28
What's the dating scene in Boston like? Singles describe how they are trying to find their match
CBS Boston
494 views 7 hours ago
New
14:00
Zelenskyy says he'll only talk to Putin - and only when a peace plan is in place | Ukraine War
Sky News
37K views 2 hours ago
New
2:10:07
Bloomberg Surveillance 02/14/2025
Bloomberg Television
2.4K views 4 hours ago
New
3:23
Video: Snow, rain, ice this weekend
WCVB Channel 5 Boston
1K views 3 hours ago
New
President Trump signs Executive Orders at the White House
The Times and The Sunday Times
1.2K watching
LIVE
13:58
Trump's Reciprocal Tariffs To Hurt India, But Arvind Panagariya Hopeful Of Bilateral Negotiations
CNBC-TV18
4.2K views 14 hours ago
New
7:58
D.C. Crash Update: Helicopter crew may have been getting incorrect altitude readings
MSNBC
6.5K views 1 hour ago
New
6:14
NH Chronicle: Bob's Chocolate Cafe
WMUR-TV
308 views 5 hours ago
New
2:52
US Retail Sales Drop by Most in Nearly Two Years
Bloomberg Television
6.4K views 6 hours ago
New
12:37
Another weekend storm, para-athletes forced off plane
CBS Boston
1K views 6 hours ago
New
9:14
'This is going to impact consumers': Trump threatens new tariffs
MSNBC
88K views 15 hours ago
New
Show more
108 Comments
Sort by
Add a comment...
@goliathonline69
1 day ago
He's off his Tariff Rocker.
14
Reply
@princesssela6204
1 day ago
Reciprocal?  He started this tariff war!
31
Reply
5 replies
@vincentvincent4898
1 day ago
“The narcissist enjoys being fed attention, whether good or bad” - George Washington
14
Reply
@mrmink
1 day ago
Reciprocal? He started it!
34
Reply
2 replies
@coolbreeze2.0-mortemadfasc13
1 day ago
This is a DISASTER.
12
Reply
1 reply
@bgorveatt
1 day ago
Quietly, in Canada, US manufactured goods are ignored. You just haven't noticed it yet! Once his tariffs are implemented against Canada, anything made from aluminum , will go up a lot!
7
Reply
8 replies
@vikingfans8707
1 day ago
The EU has ZERO tariffs on the USA.
But we will put tariffs on you if you put on us.
7
Reply
@Lisa-vk2jw
1 day ago
Stop calling these reciprocal tariffs, they are his tariffs.   Oh now, it’s April?  FO trump
7
Reply
1 reply
@judithelaine9285
1 day ago
This helps us how? Each country we have bullied?  China is already there. They strategically planned ahead. Its amazing how many countries they are helping. They expanded a port in Mexico that has a direct route to China. Built a speed rail train in Africa. China has made friends and gotten new resources.
5
Reply
@Joe-ti7qd
1 day ago
The groceries are already so high.
12
Reply
5 replies
@guinsey
1 day ago
DEAR LORD, WHY HAVE YOU FORSAKEN US?
10
Reply
3 replies
@911AIAUTOPILOTS
1 day ago
These people don’t have to worry about the price of food or goods good job all
9
Reply
1 reply
@gatsbylight4766
1 day ago (edited)
You know, the problem is really not about having a moron for president (though that, in and of itself, can present problems).  After all, not every president has had a high level of expertise in business and economics.  The problem is having a egomaniacal malignant narcissist for president who thinks he actually knows better than everyone else and therefore won't take advice from the people who DO have a high level of expertise in all of these different areas.
2
Reply
@stanleyhache1626
1 day ago
So, the prices might go up in the short term... and Trump said that once prices go up they are difficult to bring back down.  What is it that the American public doesn't understand.  You might want to read ""Tariffs for Dummies"".
3
Reply
@joetran8798
1 day ago (edited)
If the rest of the world imposes tariffs on the US, expect Chump to whine... no favours, no fortune for Donald J Chump.  Everyone should stay united until this is done.

To add, VAT tax is paid by everyone, had nothing to do with where it came from.  But then again, this is Donald Chump.
10
Reply
5 replies
@RDKivett
1 day ago
You need to clarify that VAT is applied to all products both foreign and domestic so it is not like a tariff that is only applied to foreign products.  So VAT is not aimed at the US products.  If the US wants to put a VAT on all products in the US then that can be compared to VAT.  But for someone like the UK to take off VAT from US products would put their own products at a disadvantage.  So it is not going to happen.  The EU and other countries can either accept the tariffs that Trump imposes or retaliate.  But they are not about to lift their VATs on American products.
Read more
2
Reply
@eskutts
1 day ago
Is there no one intelligent and brave enough to advise him that tariffs will hurt the end consumers the most. Really wondering if Trump and his team actually understands the difference between Exports and Imports and how tariffs actually works and who gets affected in the end. Because if he really knew about tariffs, he definitely wouldn't have imposed it in the first place. Period 
5
Reply
4 replies
@tedrohe9048
1 day ago
Trumpflation comin' at ya!!!
3
Reply
@tlll8590
1 day ago
Keep threaten tariff to other countries. American not only buys expensive eggs. Energy, clothing, everything will go insane. This calls Trump trade.
Reply
@ReclinedPhysicist
1 day ago
The markets seem to think this is some sort of bargaining ploy and they aren't going to last long.
Reply
@UniqueBreakfastTaco
1 day ago
Trump was wrong. Im not tired of winning. 
1
Reply
1 reply
@ha6737
14 hours ago
EU VAT are the equivalent to the sales taxes we have in the states. This is a moronic comparison…
Reply
@heatherwright6548
1 day ago
There are 160 countries, then 159 should deal with anyone but the usa!
1
Reply
@Jay-x9g5i
1 day ago
Trump will raise prices across the board,affect jobs.I thought he was smart
1
Reply
@KellyBeaudry-h8g
1 day ago
Trump is pleading for no trade. Give him what he wants and what Americans voted for.... Isolation!
1
Reply
@dracorpgroup
23 hours ago
>Keep the following in mind. These tariffs are an expensive distraction. The real problem is the US national debt. In the year 2000 the debt stood at $5.0 Trillion US but now it stands at over $36.0 Trillion US. In four years, that debt will zoom over $40.0 Trillion US. With the hidden cost of the tariff move that debt could easily hit $44.0 Trillion US in four years.
>The only way to slow and then reverse that climb in debt is to grow the economy, increasing the GDP faster than the increases in the debt. The ratio of Debt/GDP is around 125 % and the only way to get this down below 100% is by increasing the GDP. These tariffs will do the opposite. Turning against the two allies, Canada and Mexico, will just accelerate the rise in debt while diminishing the rise in GDP of the US.
Does anyone in Washington not see this?
Thanks for reading. Please comment.
Read more
Reply
@juandoe2696
1 day ago
I hope Trump forces other countries to reciprocate the US de minimis rate on US goods via the mail.  That would be great for consumers around the world and reduce prices.
Reply
@limeyB-star-D
23 hours ago
Nice! This will bring down inflation!
Reply
@Hoppenoffer
1 day ago
My… Bloomberg is so excited about money and rich people. Reporting Trump’s thoughts as if they were a thing of value.
Reply
@JetsonJohnson
1 day ago
THE PRICES ON EACH TARIFFS ITEM WILL BE GO UP ️
Reply
@anthonygordon9483
1 day ago
Oh im sorry. Are we suppose to know what reciprocal tariffs are ?  You guys know your viewers  are not bright. So why are you guys reporting this and not explaining what it is ?
Reply
@xingjundu4936
1 day ago
The US Nimitz-class aircraft carrier USS Harry S. Truman collided with the Turkish merchant ship Besiktas-M while operating near Port Said, Egypt, in the Mediterranean region -  When an aircraft carrier collides with a merchant ship, what about those frigates standing by ?  eating shit? The United States’ military power is the best in the world!
Reply
@althunder4269
1 day ago
He needs to check with his BOSS Elon first.
Reply
@KellyBeaudry-h8g
1 day ago
People know what reciprocal means. And you got it backwards.
How can you call yourself news.
Reply
@Hoppenoffer
1 day ago
What does Bloomberg know about life… so excited about money moves and the wealthy. Truly useless
Reply
@MartiEstifanos
1 day ago
Amrican poset all presnale so no one good hiddline jornaliest  bicouse   100% presnale  one by one showe hidfing stipe by srtipe Amrican poset strongliy only this values  all feek presne luoked bicouse all fules no including
Reply
@georgecuster527
1 day ago
Daddy’s got this. USA USA USA 🇺🇸
Reply
@MartiEstifanos
1 day ago (edited)
Jornaliest qulitiy
Jornaliest profuser
Jornaliest andrestanding
Jirnaliest no atked exsprines
Jornaliest qulitiy education
Jirnaliest qulitiy exsprines
Jornaliest fano
May no Dana
Read more
Reply
@zecorezecron
1 day ago
America has the lowest trade/gdp ratio of any developed nation.  You could totally cease all trade and the economy would get better for the average American.  It's only the super rich that don't want tariffs.
Reply
3 replies
@2727fer
1 day ago
Here is the problem for Americans who do no research nor understand tariffs in the first place. 90% of what the US imports from Canada is used to go into a finished product it is not a consumable product. Whereas a bulk of what Canada imports from the US is consumer based goods for the buyer. Like Heinz, booze, etc. Now that Canada, the EU and other countries who the mutt in charge is targeting are just going to buy locally made food, booze, consumables and travel locally or anywhere but the US there will be major disruption to the US economy. That's the difference and that's where it is going to be devastating for American jobs...
Read more
1
Reply"
1,
2,
3,
4,
5,
6,
7,He's off his Tariff Rocker.
8,Reciprocal?  He started this tariff war!
9,"“The narcissist enjoys being fed attention, whether good or bad” - George Washington"
